pair,block,name,token_0_name,token_0_symbol,token_0_id,token_0_decimals,token_1_name,token_1_symbol,token_1_id,token_1_decimals,tx_hash,dex_name,creator,vol
0xf763bb342eb3d23c02ccb86312422fe0c1c17e94,16575807,wTAO-USDC,Wrapped TAO,wTAO,0x77e06c9eccf2e797fd462a92b6d7642ef85b0a44,9,USD Coin,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6,0x4f31c81271c76e57cf07458c7f3533ea62ac86bcb86c1d1c3b469ff537e4fe6f,uniswapv3,0xF4A78dd2A5A590266E34D2905a4B822Be3475D19,21303.874123
0xed6b5fb20322c2822cd97845261422f9d581b9c4,17583405,KARATE-WETH,Karate,KARATE,0x80008bcd713c38af90a9930288d446bc3bd2e684,18,Wrapped Ether,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0x83b5bc97a35ebb4a899d50b40ec29c1cf2035dff2715a43a21e98ed12247c21b,uniswapv3,0x4e996DC32e218e36fc36768f21BF85EA5875BC42,21268.03325146516714539
0x7a922aea89288d8c91777beecc68df4a17151df1,19308384,USDC-SHU,USD Coin,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6,Shutter Token,SHU,0xe485e2f1bab389c08721b291f6b59780fec83fd7,18,0xd6849031b09993e91999f4b8836b02a6ff1884deef8357df0d1c3e2923fcd3a1,uniswapv2,0x108769199a98C65e68D2B9b5edc8d9464853A729,21148.593213
0x3415e25b637686bbece1d0f798934772101486f6,19626987,oGPU-WETH,OPEN GPU,oGPU,0x067def80d66fb69c276e53b641f37ff7525162f6,18,Wrapped Ether,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0xaf1b21dd62f1bfb590918c77700297e2ede7e432b9460036e8350a69a3e9fceb,uniswapv2,0x8ac2326a76e60fe146ab9556fed70822515b59a8,21132.726492351700884
0xfac9c0dc87ca85e24f964f91b51d99f746fd02ce,16734524,USDC-PRIME,USD Coin,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6,Prime,PRIME,0xb23d80f5fefcddaa212212f028021b41ded428cf,18,0x11a57699b2d48a791aadf1ac6d9849563948478ad0231a2802224636dce4bbbe,uniswapv3,0x1764c139E1241ffEdaC3EE96291357AeF501C7D7,21105.798154
0x4fcf016e3c81525310b3ff6d37080b248eb4f3c3,20757324,MUSKALORIAN-WETH,Muskalorian,MUSKALORIAN,0x0c77616451a6d481fd9d95e48837861ff8831bdd,18,Wrapped Ether,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0xb65a8ea255a7016e3a17efafac017a088591b7ebfd1a7302520f66d24661abb1,uniswapv2,0x91611beaeb8504640abb05f3da557bb06aa1f014,21082.152528993807721
0xa0aae1b665ba3f0c3f9faa9f2e94ff865b4420d3,18595922,Ad Astra-WETH,Ad Astra,Ad Astra,0x161a95ae00e89e047dbb9b02a8e3085122a64bcd,9,Wrapped Ether,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0x930e3e03c7e52003791bce969ca99cce38c377b6c70e57a301dc236b35cf3790,uniswapv2,0xE03F8Af015fEBadFfCd2e3dF8b8651461B722e4B,21079.697158281590570
0x58a99cf4982b9217460654272981ef7619a599cb,20441347,ASTRA-WETH,AD ASTRA,ASTRA,0xa3c5f50deb5b23267e7752fcafaa04f42fb0eea4,9,Wrapped Ether,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0xe058255172b41cae068c84350059971c1fd6eb7fd612b7ed1a7b38e19a0b137f,uniswapv2,0x9a89df74c1c41f8d0649c4912fc7bfe4ba38ad70,20896.903041368516856
0x684b00a5773679f88598a19976fbeb25a68e9a5f,11237870,eXRD-USDC,E-RADIX,eXRD,0x6468e79a80c0eab0f9a2b574c8d5bc374af59414,18,USD Coin,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6,0xbcef72584cd65ec285d059bae28b9d083e806fb64d8967762acd872cc86c3359,uniswapv2,,20894.109612
0xfb3cd0b8a5371fe93ef92e3988d30df7931e2820,11468845,WETH-INJ,Wrapped Ether,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,Injective Token,INJ,0xe28b3b32b6c345a34ff64674606124dd5aceca30,18,0xad31ef41c4336b19f750d1ffad96d84b333efacdd0b549cd27ed3f251dbdd832,sushiswap,,20893.3833065188167588
0xc774753193b8c5688957bbb08a1c0850e3c21502,20755796,WETH-TAYLOR,Wrapped Ether,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,TAYLOR,TAYLOR,0xf97eeddc352c69d136d923ce25c0b9121c732902,9,0x5695a3378061a1bd52093c0ca24f88e9ca8f0903383085dcd04d138cd8fe1a72,uniswapv2,0x7dd00a4590f073f75dcb86302574d6bb0943d2b5,20885.036719139122414
0x841820459769cd629b10a36fd12e603938cc2679,17761543,WLD-WETH,Worldcoin,WLD,0x163f8c2467924be0ae7b5347228cabf260318753,18,Wrapped Ether,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0x47f99d1f660158e4eead4703039d98c69253e71c7805b7090adc7a58e8bc8640,uniswapv3,0xAa8d2A6a61B721161e89217aD85EAE6e1aFB4348,20852.77287333150773
0x3dfe3efa98bba522556cf6eac7f9356b2c2cfbe6,20756622,WETH-ETHDog,Wrapped Ether,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,ETHDog,ETHDog,0xc95d1952ba8736fe9807ebdade2e2232143bb400,9,0x3375dda52538ccb28ed7e3bc36d831d8687003df6d41d602e3e89091468f8d83,uniswapv2,0x4e570f4881d6571738146b7a5cc583d71d9dfa7f,20716.402030683662329
0x29c163f8d98a8f2dad676f74d7fe7fabf8e9392b,20760996,CATEGIRL-WETH,CATEGIRL,CATEGIRL,0x4ab205e011adc701a8706b7797f6d558a98a1426,18,Wrapped Ether,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0x042fcaccce28d6094b98589e704bfc92d3aafd7c238539d783bccca1cedb8fda,uniswapv2,0x45df27652d5e5ecd9097531a2972a0085ed7b4b7,20676.07510771039354676436
0xac9fbdbe486f8023606b932a747bc476011b5071,13770458,CREDI-USDT,CREDI,CREDI,0xae6e307c3fe9e922e5674dbd7f830ed49c014c6b,18,Tether USD,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x326c278e5425fc900dd9bd200494b1133e83210268117a1b0874404f93d446c6,uniswapv2,,20671.548116
0x99e9d9c06255c88efbb86e87ab6e1bad73081745,20758634,WETH-cat,Wrapped Ether,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,cat,cat,0xc4cc0db8f4814e8bc2f1989831bea4d3c47d8b50,9,0xde1c23819e617588c3f213c45032c82b69aa4d12390f30e8be3fcef3427e5a59,uniswapv2,0x817e286d16d293760a7124e6670a36caf2c49742,20660.99831009423189652
0xc02d0fa00c0bec48186026c71da2e54ebf680139,12606633,wNXM-WETH,Wrapped NXM,wNXM,0x0d438f3b5175bebc262bf23753c1e53d03432bde,18,Wrapped Ether,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0xd730e7fbf52346a9250b365d89cf993a7310e43008960ed9cdeb8cc033fca117,uniswapv3,,20642.16320174240375
0x52c65cfa34149028778d245de1b9cdbca7b10fba,18674550,WETH-BOLT,Wrapped Ether,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,Bolt Token,BOLT,0xd5930c307d7395ff807f2921f12c5eb82131a789,18,0x184e2d71ea6bcced5d4edbb8482906abf1f7a253e7660b7d8f4a782b083eef1d,uniswapv3,0x395e0da74e951f60f07de71357691c80efea77c3,20624.088878855334664
0x530637787449e5b0f529dc14aacfd3e008e53376,20691534,FTW-WETH,Black Agnus,FTW,0x306fd3e7b169aa4ee19412323e1a5995b8c1a1f4,18,Wrapped Ether,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0xb59436476cfd90d9188bcfee73ce6d7ba6ddf210af1c6058d21b7a68d6f9d480,uniswapv3,0xbe8f6bcf08c447534f2b6994185a1f69057228b0,20609.50807259379652948
0xf922194b60ff86321ddbfc08aefe302f06667ced,20377253,SPARKLET-USDT,Upland,SPARKLET,0x0bc37bea9068a86c221b8bd71ea6228260dad5a2,18,Tether USD,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,6,0x42ab0875ed3e8fd494923e2d24ecc6f6ca3c0ce918f0e3999227147eced89b57,uniswapv2,0x3dcea192f65811c08150910fbeeae637e9648087,20443.979370
0x550af2e8adc8d98635d58a30c6a377f8904cda6f,20541391,STARS-WETH,CRYPTO ALL STARS,STARS,0x1e5e3649981a3a14cd99b85a33e0df44cd398a57,18,Wrapped Ether,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0xfe27a0ce5d6166a4e25ea1a77873898a8004f3a105830dc9fe3bf3fa276ffdec,uniswapv2,0xf4856a91e40ef0614454450f2d8e166dbb6ab909,20400.147107620934289
0x509a3c4f2e61fcd6997603d09a6a6b368a2d5957,19780623,BDAG-WETH,BlockDAG Network,BDAG,0x91792f96d2ef065486e31a3ab06726ab03f8194f,18,Wrapped Ether,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0x4f3cac31d512440335dbb41108620aae077bcdba7a022f6cdc593716daf7c140,uniswapv2,0x68d181Dc086506E4b1DF99f18cb012900D5ffb16,20398.893944980770652
0x7a233f0e957a9ff4726c738e9d790b9956f4c894,19711508,KARRAT-WETH,KarratCoin,KARRAT,0xacd2c239012d17beb128b0944d49015104113650,18,Wrapped Ether,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0x71f1d7a044dfaf516ac8026882d8280e217dd523d72f71b6b70cfaddb210a8d0,uniswapv3,0x8f2Dc6afb0771E9Eecc842d71f7599F8b2D33183,20227.317553883923794
0x755f01736f93c91585b840c2179c560b754d69f3,16723214,NXRA-WETH,AllianceBlock Nexera Token,NXRA,0x644192291cc835a93d6330b24ea5f5fedd0eef9e,18,Wrapped Ether,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0xc03718d07085787a4db46380922a8e64662c1258ff29824471a961c1e636b047,uniswapv3,0x3655b5117252aa2c72047d8870c001d240c1f868,20168.741702442811007
0xf125593f012dc5596dc2e78b70b57899b4c4d056,20759724,WETH-HMSTR,Wrapped Ether,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,Hamster Kombat,HMSTR,0xd57bebfc58384616670faac30724d56646ed3edd,18,0xfd6f80c2f6ae928d03c6f631c50fd1238493ffdffd9cb7d8606cfa717c4e5002,uniswapv2,0x2de6ee4f67e7a9fc15409a2b5395f16652d3ee11,20113.917562866995924
0x92b48562fcaad03853206872ab8b3004ec52b7e1,20684529,SHELL-WETH,Powershell,SHELL,0x15acc5b766df710369fe66beb5266cf205294c9b,18,Wrapped Ether,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0xd7cef09f99134d50bbe49fd735db5a093f2e1e965188f00bdcae57bbf20f95a7,ethervista,0x43b2be19f5d59c73421e0f457242a097a834199a,20101.229981395249779
0x4e122cde1ff84e521abb2243dc5f112b061c2036,20253287,BDAG-WETH,BlockDAG,BDAG,0x90f5776c8a094449fa99d0173f17a29d13c7f9f7,18,Wrapped Ether,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0xc54cf0e082a74fdbefca4e830ff9387d1ea769ee937d1838a1276245cb1b32b3,uniswapv2,0x957faf2e6b328b5ea840aa5f83a74823f971c893,20047.041185444690966
0x76e55d1723d5ac8a57e7840840f21b6abe269b13,20340230,WETH-MGMES,Wrapped Ether,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,The Meme Games,MGMES,0xea8ce92f45c1bacae3854357b3e426392e1a9a61,18,0xaab8a425755afdcb98501b6e0c81b010b55dca7ad61e35df7ee3edc823aa9fe2,uniswapv2,0x18ad4751d7a74f0b57a39161869f4995f88f4eea,20022.7458351942567
